iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AUT,Austria,8879920,2.5,0.919,1.264,168.47,1,3796000000,790000000,2053000000,0.0,2.55,975.7691,58076.348801448,2.7447560073537214,-1263000000,259.0113286606186,5.498458376156218
AZE,Azerbaijan,10024283,2.5,0.761,2.489,278.96,1,3487000000,298000000,324000000,11.94444,15.32,3720.199,15051.5612816033,3.8856746797527415,-26000000,68.89530296780333,1.25
BGD,Bangladesh,165516222,11.0,0.644,2.17,100.10000000000001,1,20383000000,125000000,3320000000,168.0,12.19,7943.799,5697.9492180924,4.869937274282456,-3195000000,23.048050104720247,27.349443805140005
BEL,Belgium,11488980,2.5,0.936,1.55,228.02,1,6602000000,7783000000,7877000000,0.0,2.55,526.3351,54278.3894505636,1.9050937202085185,-94000000,346.61760925687054,16.368739843403752
BOL,Bolivia,11777315,11.9,0.717,2.045,185.65,1,3029000000,22000000,114000000,48.0,9.95,9905.798,8888.70114945264,6.196796507871671,-92000000,71.53935088345688,-42.71356783919598
BIH,Bosnia and Herzegovina,3360711,2.5,0.783,2.003,369.95,1,2442000000,21000000,340000000,5.210526,5.32,1226.467,15418.97991838,-4.642393832122131,-319000000,356.6819537740675,-7.103825136612022
BWA,Botswana,2499702,22.1,0.717,1.676,144.31,1,110000000,14000000,309000000,5.0,8.19,8140.749,15756.04377791,8.438896723930677,-295000000,-100.30475457474532,26.639344262295083
BRA,Brazil,211782878,2.6,0.766,2.361,142.14,1,137865000000,43663000000,3168000000,49.04348,13.43,8681.18,15304.9076953685,3.2139630053296684,40495000000,508.83330483911925,30.800990916597854
BGR,Bulgaria,6975761,3.0,0.81,1.602,147.15,1,4868000000,2798000000,467000000,4.4,2.55,1802.135,24411.2816301826,-2.8173621282055104,2331000000,550.6950093115289,-37.5668449197861
BFA,Burkina Faso,20951639,14.1,0.452,2.206,162.47,1,3986000000,72000000,80000000,74.5,11.41,3882.356,2199.11662609236,11.932993550225587,-8000000,27.777646019483257,40.35087719298245
BLR,Belarus,9419758,2.5,0.817,2.115,336.02,1,9421000000,846000000,686000000,7.346154,7.93,1948.569,20092.8803713875,-0.4367156547521656,160000000,664.1118505210006,2.083333333333333
